V,timestamps
-5.1580810546875,0.0177
-5.32745361328125,0.0178
-5.3570556640625,0.0179
-5.47210693359375,0.018000000000000002
-5.3070068359375,0.0181
-5.26397705078125,0.0182
-5.41168212890625,0.0183
-5.35888671875,0.0184
-5.3729248046875,0.018500000000000003
-5.3179931640625,0.018600000000000002
-5.31707763671875,0.0187
-5.09307861328125,0.0188
-5.45745849609375,0.0189
-5.3533935546875,0.019
-5.4541015625,0.019100000000000002
-5.58135986328125,0.019200000000000002
-5.29022216796875,0.0193
-5.3045654296875,0.0194
-5.3045654296875,0.0195
-5.3515625,0.0196
-5.3912353515625,0.019700000000000002
-5.36407470703125,0.0198
-5.43792724609375,0.0199
-5.301513671875,0.02
-5.3997802734375,0.0201
-5.42938232421875,0.020200000000000003
-5.4461669921875,0.020300000000000002
-5.267333984375,0.0204
-5.4730224609375,0.0205
-5.30059814453125,0.0206
-5.47698974609375,0.0207
-5.2899169921875,0.020800000000000003
-5.4132080078125,0.020900000000000002
-5.1910400390625,0.021
-5.40924072265625,0.0211
-5.3717041015625,0.0212
-5.43548583984375,0.0213
-5.39306640625,0.021400000000000002
-5.36041259765625,0.021500000000000002
-5.47882080078125,0.0216
-5.26275634765625,0.0217
-5.39215087890625,0.0218
-5.2874755859375,0.0219
-5.257568359375,0.022000000000000002
-5.38177490234375,0.0221
-5.33905029296875,0.0222
-5.2435302734375,0.0223
-5.40679931640625,0.0224
-5.63232421875,0.022500000000000003
-5.35186767578125,0.022600000000000002
-5.2099609375,0.0227
-5.39520263671875,0.0228
-5.4443359375,0.0229
-5.50018310546875,0.023
-5.2862548828125,0.023100000000000002
-5.2362060546875,0.023200000000000002
-5.2783203125,0.0233
-5.042724609375,0.0234
-5.34454345703125,0.0235
-5.32196044921875,0.0236
-5.1959228515625,0.023700000000000002
-5.418701171875,0.0238
-5.29754638671875,0.0239
-5.38421630859375,0.024
-5.23193359375,0.0241
-5.27618408203125,0.024200000000000003
-5.28289794921875,0.024300000000000002
-4.9658203125,0.0244
-5.21759033203125,0.0245
-5.1800537109375,0.0246
-5.3167724609375,0.0247
-5.49957275390625,0.024800000000000003
-5.1953125,0.024900000000000002
-5.1263427734375,0.024999999999999998
-5.0897216796875,0.025099999999999997
-5.2825927734375,0.0252
-5.16937255859375,0.0253
-5.1373291015625,0.0254
-5.465087890625,0.0255
-5.0994873046875,0.025599999999999998
-5.25665283203125,0.025699999999999997
-5.22796630859375,0.0258
-5.203857421875,0.0259
-5.17425537109375,0.026
-4.959716796875,0.026099999999999998
-5.23834228515625,0.026199999999999998
-5.06622314453125,0.0263
-5.17059326171875,0.0264
-5.3070068359375,0.0265
-5.0482177734375,0.0266
-5.068359375,0.026699999999999998
-5.3045654296875,0.026799999999999997
-5.31768798828125,0.0269
-5.02593994140625,0.027
-5.13916015625,0.0271
-5.06988525390625,0.0272
-5.23834228515625,0.027299999999999998
-5.2581787109375,0.027399999999999997
-5.1715087890625,0.0275
-5.0567626953125,0.0276
-5.05340576171875,0.0277
-4.98565673828125,0.0278
-5.1690673828125,0.027899999999999998
-5.23284912109375,0.028
-5.1043701171875,0.0281
-5.087890625,0.0282
-5.1324462890625,0.0283
-4.92156982421875,0.028399999999999998
-5.09063720703125,0.028499999999999998
-5.1300048828125,0.0286
-5.2239990234375,0.0287
-5.02349853515625,0.0288
-5.16448974609375,0.0289
-5.09063720703125,0.028999999999999998
-5.19805908203125,0.029099999999999997
-5.17913818359375,0.0292
-5.10467529296875,0.0293
-4.940185546875,0.0294
-5.1141357421875,0.0295
-5.13427734375,0.029599999999999998
-5.26885986328125,0.029699999999999997
-5.29815673828125,0.0298
-5.14984130859375,0.0299
-5.04730224609375,0.03
-4.9456787109375,0.0301
-5.184326171875,0.030199999999999998
-5.1751708984375,0.0303
-5.29937744140625,0.0304
-5.072021484375,0.0305
-5.0299072265625,0.0306
-5.1605224609375,0.030699999999999998
-5.19775390625,0.030799999999999998
-5.2520751953125,0.0309
-5.23834228515625,0.031
-5.1092529296875,0.0311
-4.95391845703125,0.0312
-5.1898193359375,0.031299999999999994
-5.479736328125,0.0314
-5.29815673828125,0.0315
-5.0213623046875,0.0316
-5.27587890625,0.0317
-5.19805908203125,0.031799999999999995
-5.37261962890625,0.0319
-5.2947998046875,0.032
-5.5352783203125,0.032100000000000004
-5.2349853515625,0.0322
-5.12847900390625,0.032299999999999995
-5.5206298828125,0.0324
-5.301513671875,0.0325
-5.4827880859375,0.032600000000000004
-5.3277587890625,0.0327
-5.277099609375,0.032799999999999996
-5.460205078125,0.0329
-5.4437255859375,0.033
-5.5535888671875,0.0331
-5.36834716796875,0.0332
-5.54931640625,0.033299999999999996
-5.66375732421875,0.0334
-5.5462646484375,0.0335
-5.66925048828125,0.0336
-5.51055908203125,0.0337
-5.4718017578125,0.0338
-5.44342041015625,0.0339
-5.54168701171875,0.034
-5.5084228515625,0.0341
-5.58319091796875,0.034199999999999994
-5.6103515625,0.0343
-5.65338134765625,0.0344
-5.56976318359375,0.0345
-5.770263671875,0.0346
-5.82183837890625,0.0347
-5.48004150390625,0.0348
-5.423583984375,0.0349
-5.69610595703125,0.035
-5.67626953125,0.0351
-5.62530517578125,0.035199999999999995
-5.89019775390625,0.0353
-5.83953857421875,0.0354
-5.75347900390625,0.0355
-5.78399658203125,0.0356
-5.84381103515625,0.035699999999999996
-6.0205078125,0.0358
-5.54962158203125,0.0359
-5.7568359375,0.036
-5.810546875,0.0361
-5.8026123046875,0.036199999999999996
-5.95611572265625,0.0363
-5.96588134765625,0.0364
-6.01806640625,0.0365
-5.74737548828125,0.0366
-6.02264404296875,0.036699999999999997
-6.104736328125,0.0368
-5.94940185546875,0.0369
-6.07635498046875,0.037
-5.73028564453125,0.0371
-6.048583984375,0.0372
-6.11083984375,0.0373
-6.165771484375,0.0374
-6.2109375,0.0375
-6.085205078125,0.0376
-6.1114501953125,0.0377
-6.19598388671875,0.0378
-6.1358642578125,0.0379
-6.14776611328125,0.038
-6.11724853515625,0.0381
-6.1962890625,0.0382
-6.01531982421875,0.0383
-6.204833984375,0.038400000000000004
-5.97198486328125,0.0385
-6.10076904296875,0.038599999999999995
-6.14654541015625,0.0387
-5.9808349609375,0.0388
-5.928955078125,0.0389
-6.1395263671875,0.039
-6.2689208984375,0.039099999999999996
-6.1212158203125,0.0392
-6.011962890625,0.0393
-6.21185302734375,0.0394
-5.96466064453125,0.0395
-6.19964599609375,0.039599999999999996
